description,COMMODITY_LEAF_PREDICTED
C-H 10250T53 STANDARD CONTACT BLOCK,899801
WIRE XHHW-500-BLK-STR-AL-2500MSTR,899958
GE AB25B PNLBD BOX W/BLANK ENDWALL,900002
PVC 1-PVC-SCHED-80 CONDUIT 3600/LFT   **YARD**,899866
WM 2347 4-1/2X3X1-3/8D DEV BOX 1/PK 10/BX,899974
STL-CTY TK123A 1IN S/S EMT CPLG 25/BX 100/CS,899867
CABLE 12/2 HCF ALL PURP 1000'R,899951
GE THQL2120 2P20A 120/240 PLG-IN CB,900017
WIRE UF-10/2-CU-WG-1000MSTR,899956
L-FSE KLPC800 600V CLASS L FUSE 1/BX,899807
WIRE THHN-500-BLK-37STR-CU-2500MSTR,899956
T&B M974 STA-KON TERMINAL 50/BX 250/CS,899752
APP FSK-1DR 1G DPLX RCPT COVER CS/25,899752
"BUHL 338866-21 MR16 SOCKET W/24"" LEAD",899752
GE THQL2130 2P30A 120/240 PLG-IN CB,900017
C-H BAB3015H 15A 3P CKT BRKR,900017
UNIS HLKW050EG 1/2 LOCKWASHER,899859
FTG RB-2 FRB-10 3/4X1/2 REDUCING BUSHING 100/BX 1000/CS,899830
"UNIS HFLW058EG 5/8"" X 1-3/4"" FLAT WASHER ELECTRO GALVANIZED FINISH",899859
FTG RB-3 FRB-20 1X1/2 REDUCING BUSHING RB-20 50/BX 500/CS,899877
GE THQL2140 2P40A 120/240 PLG-IN CB,900017
NER RB-6 1-1/4X3/4 REDUC BUSHING CS/25,899873
NER RB-7 1-1/4X1 REDUCING BUSHING CS/25,899873
WIRE TFFN-18-YEL-16STR-CU-500S,899956
NER RB-9 1-1/2X3/4 REDUC BUSHING CS/25,899873
GE TEY3100 3P-480V-100A CB,900017
GE THQL2150 2P50A 120/240 PLG-IN CB,900017
CPP 3/4 RUN THREAD TYPE C 3 FT 25/BX 26020700,899752
LOL 6004NBK 45-1/4IN BLK TRACK 12NC: 912400465058 *FFA* :DE2402  :ALT-6004DBK,899929
JUNO R38BL E FEED CNCTR BLK,898859
GE AB31B PNLBD BOX W/BLANK ENDWALL,900002
GE THQL2160 2P60A 120/240 PLG-IN CB,900017
GE THQL2170 2P70A 120/240 PLG-IN CB,900017
CABLE 12/3 HCF AL SOL 1 X 250'C,899951
WIRE XHHW-10-GRN-7STR-CU-500,899958
T&B 10RC-10F 12-10 INS SPADE TERM 50/BX 250/CSM,899832
OZ-G T200A 2IN ALUM T COND BODY CS/1,899873
WIRE XHHW-600-BLK-STR-AL-2000MSTR,899958
"UNIS HHCS037100EG 3/8"" X 1"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
CPL 310W WHT TRIM,898837
L-FSE FLNR060ID 250V INDCATOR FUSE 10/BX,899807
WIRE THHN 1 RED-19STR-CU-2500MSTR,899956
OZ-G C150A 1-1/2 ALUM C COND BODY CS/2,899873
NER DC-5500 3/8 DUPLEX CLAMP CONN CS/25,899873
PHIL CDM20TM83012PK 1/CASE ITEM #: 140400,898885
CLM 2578SW000H 50FT 12/3 SJTW CORD 8/BX BLUE,899915
STI SSP100 2LB TUBE PUTTY 6/BX,899877
GE AF55S 55-1/2X20 PNLBD FRONT,899778
GE AB37B PNLBD BOX W/BLANK ENDWALL,900002
L-FSE LLSRK400 600V RK1 TD FUSE 1/BX,899807
WIRE THHN-2-GRN-19STR-CU-2500MSTR,899956
CABLE 10/2 MC ALL PURP AL 1 X 250'C,899951
APP FSK-2DR 2G DPLX RCPT COVER CS/5,899752
OZ-G LB100A 1IN ALUM LB COND BODY CS/5,899873
WES 0447000 500Q/CL 120V LAMP,899756
CLM 2579SW000H 100FT 12/3 SJTW CRD 4/BX BLUE,899915
ERC FB812M 1/2&3/4 COND NAIL BRKT 100/BX,899877
WIRE THHN-2-GRY-19STR-CU-2500MSTR,899956
GE F18DBX/841/ECO4P FLUOR LAMP 50/CASE   97601,898909
GE 45R20/MI/1/6PK 120V FLD LAMP 30/CASE  14878 OLD: 14896 :DE2504 :ALT-NONE,898899
BODINE GTD20A,899752
LEV 5206 BLK FLUSH RCPT-NEMA10-50R 1/BOX 20/CASE,899977
GE AB43B PNLBD BOX W/BLANK ENDWALL,900002
CABLE 12/2 MC ALL PURP AL 1000'R,899951
WTPN 975RD1000 #18-2/C SHIELDED RISER RATED FPLR FIRE ALARM CABLE WITH A RED JACKET,899756
CABLE 12/2 HCF ALL PURP 1 X 250'C,899951
BOLT BEBL645 SUA 1003 6V 4.5A BATTERY 0120255 ELB06042,899878
WTPN 980RD1000 #18-2/C UNSHIELDED RISER RATED FPLR FIRE ALARM CABLE WITH A RED JACKET ,899756
BOLT BEBL6V70A 6V 7AH BATTERY DUAL 0120824 SUA 1005,899878
BOLT BEBL6100 6V 10AH REPLC BATT SUA 1007 ELB0610 10/CS,899878
OZ-G LB-100 1IN MALL LB COND BODY CS/5,899883
WIRE TFFN-16-BLK-26STR-CU-500S,899956
SUA 1020 12 VOLT 7.2 AMP HR BATT PS1270F1 INV-03-002,899752
WIRE TFFN-16-BLU-26STR-CU-500S,899956
HERA SHWC/XL/R HARD WIRE BOX (PIN STYLE),899756
L-FSE JTD010 POWER FUSE 10/BX,899807
VIKING P-100-3 INS STAPLES BOX-100 100/BX 2500/CS,899877
CABLE 10/3 MC AL 1 X 250'C,899951
FTG CL-50MN FPS-2M 1/2 1H MALLEABLE CLAMP 100/BX 1000/CS,899877
WIRE XHHW-750-BLK-STR-AL-2500MSTR,899958
T&B G971U 1-2AWG RING TERMINAL 100/BX 1000/CS,899830
GE AB49B PNLBD BOX W/BLANK ENDWALL,900002
D-B TN132-UNV-1/2-EB  OLD PART: LOL SN8T132HPFUNVHI 12NC: 912401025060,898855
JUNO R38WH E FEED CNCTR WHT,898859
WIRE THHN-3/0-ORG-19STR-CU-2500MSTR,899956
"LOL 6004NWH 45-1/4"" WHT TRAK 12NC: 912400465059 :DE0823 :ALT-6004DWH",898859
GE CR151B2 12 CKT TERM STRIP,899752
"UNIS HRMS025150EG 1/4"" X 1-1/2"" ROUND HEAD MACHINE SCREW ELECTRO GALVANIZED FINISH",899859
OZ-G LB-150 1-1/2 MALL LB COND BODY CS/2,899883
WTPN 25841IV1000 RG-6/U 90% BC BRAID PLENUM RATED CATV COAX CABLE *COMPRESSION CON.# WTPN CN-FS6PL2* *CRIMP CONNECTOR # AIM 25-7047*,899752
WIRE TFFN-16-BRN-26STR-CU-500S,899956
T&B E71U RING TONGUE TERMINAL 200/BX 2000/CS,899752
WIRE THHN-1/0-BLU-19STR-CU-2500MSTR,899956
EPATCH5E14BL 14 FT. CAT 5E BLUE PATCH CORD WITH BOOTS,899752
WIRE NM-B-8/2-CU-WG-1000MSTR,899956
WIRE THHN-750-BLK-61STR-CU,899956
PVC 3IN 45D STD ELBOW EE4545 68607 5133770 UA7AL 25/BX  **YARD**,899866
T&B 256-30695-922 COLOR KEYED-CU 4/0 LONG 90 10/BX 100/CS,899830
T&B 256-30695-925 1 HOLE CU 2/0 LONG 90 10/BX 100/CS,899830
GE AB55B PNLBD BOX W/BLANK ENDWALL,900002
CPP 1-1/2 COND 90 ELBOW EMT 20/BX 22051500,899867
LOL 6048NBK BLACK INVISIBLE FEED 12NC: 912400465073 *FFA*,898859
FTG CLB-75MN FCB-075 3/4 MALL CLAMP BACK 50/BX 500/CS,899877
CABLE 10/3 MC STRANDED 1X250C,899951
CPP 1-1/4 X 4 COND NIP GAL 25/BX 25021308,899752
LOL 6046NWH WHITE POWER EXTENSI 12NC: 912400465071,898859
WIRE NM-B-14/3-CU-WG-1000R,899958
ARL 8091F SIDING BOX KIT /BX 25/CS,899752
NIC 17506WH 6IN WHT R30 EYEBALL EYBALL TRIM (AFL 108EB30W) 12/BX,899752
PVC 4-IN-PVC-SCHED-80-CONDUIT 570/LFT  **YARD**,899866
GE F84T12/CW/HO/15PK 100W FLR LAMP 15/CASE   13766   ,898899
FTG PB-500-D F992 1-1/2 105D PLS INSBSH 50/BX 500/CS,899877
MLY MS26 THERMOSTAT&CONTROL THERMOSTAT 1/BX,899752
WM G3043BE GRY DPLX-RCPT PLATE 1/PK 20/BX,899974
CPP 3 COND 45 ELBOW GAL 22223000,899866
CPP 3 X 4 COND NIP GAL 10/BX 25023008,899878
"UNIS HHCS050150EG 1/2"" X 1-1/2"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
"BRDGPORT 650-DC2 3/8 2SCR SEC CONN STRAP CONNECTOR 100/BX, 1000/CS",899867
CUL 90066 3-1/2IN 3-PIECE KO SEAL 10/PK,899873
OZ-G LB125A 1-1/4 ALUM LB COND BOD CS/2,899883
WIRE THHN-4/0-BLU-19STR-CU-2500MSTR,899956
GE AF37S 37-1/2X20 PNLBD FRONT,899915
MLY 2542W 208/240V BB HEATER BASEBOARD HEATER 1/BX,899801
LOL 6049NBK BLACK TRACK COUPLING  12NC: 912400465076 *FFA*,898859
CONTECH CTL2838N-P GIMBAL WHT,898859
CPP 1-1/4 COND 45 ELBOW EMT 30/BX 22251300,899867
WIRE T-STAT-18/2-SOL-CU-CL3R- BN-UL-500SP W/J 05582.18.08,899956
MLY 2543W 208/240V BB HEATER BASEBOARD HEATER 1/BX,899801
WIRE T-STAT-18/4-SOL-CU-CL3R-BN-UL 250SP W/J 05584.15.08,899956
LEV 5466-C BLK PLUG-N6-20P 10/BOX 50/CASE,900009
2IN CW SEALTITE BLUE 50FT CTN MSTR,899752
WIRE T-STAT-18/8-CL3R-250SP W/J,899927
MLY 2544W 208/240V BB HEATER BASEBOARD HEATER 1/BX,899801
NER C-1001-R 1IN D/C 2SCR SEC CONN CS/10,899873
MLY 2545W 208/240V BB HEATER BASEBOARD HEATER 1/BX,899801
MLY 2546W 208/240V BB HEATER BASEBOARD HEATER 1/BX,899801
LEV 3763-C 50A POWER LOCK PLUG 1/BOX 10/CASE,900010
WIRE THHN-12-PUR-SOL-CU-500S,899956
BLKBRN SW1BB SCR TYPE SVC WIREHOLD -/BX 36/CSM,899752
WIRE THHN-4/0-BRN-19STR-CU-2500MSTR,899956
WIRE SER 2/0-2/0-2/0-1 AL 1000MSTR,899945
FTG AC-300-D F571 3-IN D/C 90D FLX  1/CS,899864
CPP 5 COND 90 ELBOW GAL 22025000   **YARD**,899866
T&B J971U 1/0-2/0 RING TERMINAL 50/BX 500/CS,899752
CABLE 10/2 MC ALL PURP AL 1000R,899951
MLY 2548W 208/240V BB HEATER BASEBOARD HEATER 1/BX,899801
BUR YA28 4/0AWG COP 1H LUG,899830
WIRE THHN-3/0-RED-19STR-CU-2500MSTR,899956
APP UNY75NR 3/4 MALE UNION CS/10,899873
T&B J972U 1/0-2/0 RING TERMINAL 50/BX 500/CS,899752
CPP 1/2 RUN THREAD TYPE C 3 FT 20/BX 26020500,898885
HERA SPCSXL 6' POWER CBL W/ SWITCH,899929
LENS A122X4 23-3/4 X 47-3/4  CLEAR ACRYLIC FULL SIZE LENS 20/CASE,898946
LEV 80501 1G MIDSIZE SWITCH PLATE 25/BOX 100/CASE,900005
WIRE XHHW-10-BRN-7STR-CU-2500R,899958
LEV 80503 1G MIDSIZE DPLXRCPT PLATE 25/BOX 100/CASE,900004
LOL 6008NBK 93-1/4IN BLK TRACK 12NC: 912400465064 *FFA* :DE2402  :ALT-6008DBK,899929
ERC CS812 STUD ATTACH ASSEMBLY 100/BX,899877
WIRE THHN-500-GRN-37STR-CU-1000MSTR,899956
ARL 8081FC PLSTC SIDING COVER ONLY: BACK (8081FB) SOLD SEPARATELY /BX 25/CS,899752
"UNIS HHCS025125EG 1/4"" X 1-1/4"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH ",899859
RMI 48000 DRILLER DUST BOWL 1/BX,899752
"LOL 6050NBK BLACK TRACK ""L"" 12NC: 912400465079",898859
GE F24T8/CW/4/6PK FLUOR LAMP 24/CASE   17705,898899
WIRE THHN-500-GRY-37STR-CU-2500MSTR,899956
LOL 6048NWH-CUL INVISIBLE FEED 12NC: 912400465074,898859
CPP 1-1/4 X 6 COND NIP GAL 25/BX 25021312,899752
ULT P100048TAC5M500K (1) 1000W PSMH M141 480-120 60HZ,899752
"FTG 8630 F763 1""EMT TO FLEX CPLG 25/BX 250/CS",899867
EDW 592 120V PRIMARY TFMR TRANSFORMER 10/BX,899752
EDW 593 TFMR ADAPTOR PLATE TRANSFORMER ADAPTER PLATE 5/BX,899752
CPP 2-1/2 COND 45 ELBOW EMT 22252500,899867
EDW 596 120V PRIMARY TFMR TRANSFORMER 10/BX,899752
EDW 598 120V PRIMARY TFMR TRANSFORMER 10/BX,899752
EDW 599 120V PRIMARY TFMR TRANSFORMER 10/BX,899752
EDW 600 BRS PUSHBUTTON PUSH BUTTON 50/BX,899752
CONTECH LA-2-P WHITE MINI CONNECTOR,899752
TORK A502HW 2 HR TWIST TIMER WHITE,898873
CPP 1/2 COND CPLGS GALV 100/BX 21120500,899877
VIKING 100PP5M STAPLE BUCKET 5000/BKT,899915
LEV 124-D RUBBER MED LAMPHOLDER 25/BOX 100/CASE,900002
GE AB76B PNLBD BOX W/BLANK ENDWALL,900002
WIRE NM-B-12/2-CU-WG-1000R,899958
CPP 3/4 COND CPLGS GALV 50/BX 21120700,899877
WIRE THHN-350-ORG-37STR-CU-2500MSTR,899956
T&B M974U 90D BEND NON-INSUL RING 50/BX 250/CS,899752
WIRE THHN 10 PUR-19STR-CU-2500,899956
OZ-G FS-1-GFCA ALWP GF RCPT COVER CS/5,899752
FTG CNN-1000 F1560 4-IN DC COND NIPPLE 5/BX 25/CS,899752
APP FSC175 1G MALL FSC BOX CS/1,899873
GE TGL2 14 TERM GRND KIT,899831
CPP 3 X 6 COND NIP GAL 10/BX 25023012,899878
CPP 4 COND 90 ELBOW EMT 36/BX 22054000,899867
LOL 6051NBK BLK 1CKT T TRACK CO 12NC: 912400465082,898859
CPL L651P 4FT WHT TRACK,898837
CPP 1 COND CPLGS GALV 30/BX 21121000,899877
NIC 17503 6IN BLK R40 BAFFLE (AFL 108RM30P) 48/BX,899752
T&B 302-TB 1/2 S/SCR FLEX CONN 50/BX 100/CSM,899869
LOL 6049NWH-CUL WH TRACK COUPLER 12NC: 912400465077 *FFA*,898859
APP FD175 1G MALL FD BOX CS/1,899873
CPL L652P 8FT WHT TRACK,898837
JUNO TC44 LO-VOLT THERM HSG&TFMRP,898859
LAMPTRACKER TL4 4FT TRIGUARD 146-T8 OR 64-T12 LAMPS,899752
CPP 1-1/4 COND 90 ELBOW GAL 20/BX 22021300,899866
JUNO TC2R HSG-TC REMODEL,898859
CPP 1-1/4 COND CPLGS GALV 25/BX 21121300,899877
"UNIS ANC1X36X3HDG ANCHOR BOLTS 1 X 36 X 3 HDG SOLD AS ONE SET W/4 BOLTS   QTY:1 = 4ANCHOR BOLTS W/2NUTS, 2FLAT WASHERS & 1 LOCKWASHER",899752
"UNIS TLQUIKPUNCH2X2 2"" X 2"" X 24'L QUIKPUNCH",899755
FTG PB-100-D F988 1/2 105D PLSTC INSBSH 200/BX 2000/CS,899752
FTG CNN-100 F1551 1/2 D/C CONDUIT NIPPLE 100/BX 1000/CS,899877
"CABLE 12/2 MC ALL PURPOSE AL 1000'R BROWN, GRAY HIGH VOLTAGE",899951
GE TEY315 3P-480V-15A CB,900017
CPP 1-1/2 COND CPLGS GALV 25/BX 21121500,899877
GE TEY340 3P-480V-40A CB,900017
PVC 3IN 22.5D STD ELBOW EE3022 78583 5134068 UA5AL,899866
NER CH-900-B 4-IN COND HGR W/BOLT CS/25,899873
OZ-G LB50A 1/2 ALUM LB COND BODY CS/10,899873
GE TEY320 3P-480V-20A CB,900017
L-FSE 314020P 250V SMALL DIM FUSE 5/BX,899807
WIRE THHN-3-BLU-19STR-CU-2500MSTR,899956
NIC 17511 6IN WHT R30 BAFFLE TRIM (AFL 108RM35W) 48/BX,899752
GE TEY330 3P-480V-30A CB,900017
WAC HT4-WT H SERIES 4FT TRACK W/ 2 ENDCAPS,898859
CPP 1 X 2 COND NIP GAL 25/BX 25021004,899752
OZ-G LB150A 1-1/2 ALUM LB COND BOD CS/2,899873
GE 460XE1B TYPE 1 SM ENCLOSURE KIT,898885
OZ-G C200A 2IN ALUM C COND BODY CS/1,899873
OZ-G LL-50 1/2 MALL LL COND BODY CS/10,899873
GE TEY350 3P-480V-50A CB,900017
EDW 730 3-6VDC 6-8VAC BELL&BUZZER COMBINATION BELL AND BUZZER 10/BX,899752
THC WB1250X-2 12V 5W CLEAR WEDGE,899752
CPP 3/4 X CL COND NIP GAL 25/BX 25020701,899752
GE TEY360 3P-480V-60A CB,900017
CPP 2 COND CPLGS GALV 20/BX 21122000,899878
EDW 740 3-6VDC 6-8VAC BELL BELL 15/BX,899752
CONDUIT 3/4-EF-GRAY LIQ-TITE 1 X 100'C EF-12 GRY 6103-30-00,899877
WIRE THHN-3-BRN-19STR-CU-2500MSTR,899956
OZ-G LL-75 3/4 MALL LL COND BODY CS/10,899873
WIRE THHN 1 WHT-19STR-CU-2500MSTR,899956
"AIM 25-7047 RG-6/U ""F"" PLENUM CRIMP ON CONNECTOR FOR USE WITH PLENUM RATED COAX CABLE",899752
"LOL 6008NWH 93-1/4"" WHT TRK 12NC: 912400465065 *FFA* :DE0823 :ALT-6008DWH",898859
LOL 6050NWH WHT 1CKT L TRACK CO 12NC: 912400465080,898859
"UNIS HHXN025EG 1/4"" HEX NUT ELECTRO GALVANIZED FINISH",899859
"P&S L2230-P LOCKING DEVICE PLUG 1/BX, 10/CS",899752
VIKING 100P1 ROMEX STAPLE 100/BX 10M/CS,899877
C-H BAB3080H 80A 3P CKT BRKR,900017
VIKING 100P5 ROMEX STAPLE 500/BX 10M/CS,899838
FTG CNN-200 F1552 3/4 D/C CONDUIT NIPPLE 50/BX 500/CS,899877
CPP 2-1/2 COND CPLGS GALV 25/BX 21122500,899877
CPP 1 X 3 COND NIP GAL 25/BX 25021006,899752
NER CH-050-B 3/8 &1/2 COND HGR&BOLT CS/50,899873
AIM 25-7100 TERMINATOR END FOR COAX ,899752
FCI WH1-120-L 28W .20A 120V BA ELECTRONIC LINEAR FLUORESCENT 90/BX,898828
CABLE 8/2 MC STRANDED 1000R,899951
"MII 181834 18"" X 18""X 3/4"" SUPER W NATURAL RUBBER VIBRATION PADS ",899756
WIRE THHN-350-RED-37STR-CU-1000MSTR,899956
GC 32-3003-BU COAXIAL F CONNECTOR 10/BX,899864
CPP 3 COND CPLGS GALV 20/BX 21123000,899878
FTG DC-10 1-LB DUCT-SEAL COMPOUND 50/CS,899752
WIRE UF-12/2-CU-WG-250C,899958
EGS 2540 RAISED HANDYBOX BLANK CVR CS/25,899752
FTG CH-500-B F806B 2-IN COND HGR W/BOLT 100/CS,899877
T&B 54864BE 3/0AWG 2HOLE COP LUG 10/BX 100/CS,899830
FTG CNN-300 F1553 1-IN D/C COND NIPPLE 25/BX 250/CS,899867
APP LMFL90-50 1/2 MALL BUSHED ELL CS/25,899873
TORK A515M 15 MIN TWIST TIMER IVORY,898873
"FCI WH3-120-L 64W .56A 120V BA """"ELECTRONIC LINEAR FLUORESCENT 50/BX",898828
CPP 1 X 4 COND NIP GAL 25/BX 25021008,899752
CPP 3 COND 90 ELBOW GAL 22023000,899866
SIEM5 BQ2B030 2P 30A 120/240V CB BOLT-ON CIRCUIT BREAKER 1/BX,900017
LUT AY-103P-WH PRESET DIMMER,898872
CPP 2-1/2 X CL COND NIP GAL 10/BX 25022501,899878
WIRE THHN 1 YEL-19STR-CU-2500MSTR,899956
T&B 54110B 2/0AWG BLK 1H COP LUG 10/BX 100/CS,899830
CONDUIT 1/2IN INTERMEDIATE METAL 100/BNDL 3500/LFT   **YARD**,899877
PVC 1-1/2-PVC-SCHED-80 CONDUIT 2250/LFT   **YARD**,899866
WIRE THHN-1/0-GRN-19STR-CU-2500MSTR,899956
T&B 54109T 1/0AWG PINK 1H COP LUG 10/BX 100/CS,899830
MAGNUM NDN3-WH 3P 30A 600V DIN MOUNTED TERMINAL BLOCK,899786
NER AS-1-100 ANTI-SHORT BUSHING CS/100,899873
T&B 54111B 3/0AWG ORG 1H COP LUG -/BX 100/CS,899830
WIRE TFFN-16-GRN-26STR-CU-500S,899956
"UNIS HHCS037150EG 3/8"" X 1-1/2"" HEX HEAD CAP SCREW ELECTRO GALVANIZED FINISH",899859
T&B 54110T 2/0AWG BLK 1H COP LUG 10/BX 100/CS,899830
C-H QBHW3030H 30A 3P CKT BRKR,900017
CPP 4 COND CPLGS GALV 12/BX 21124000,899877
T&B 54112B 4/0AWG PUR 1H COP LUG 10/BX 100/CS,899830
GE F26TBX/835/A/ECO FLUOR LAMP 10/CASE   97616,898909
CONDUIT 3/4IN INTERMEDIATE METAL 50/BNDL 2500/LFT   **YARD**,899877
WIRE TFFN-16-GRY-26STR-CU-500S,899956
T&B 54111T 3/0AWG ORG 1H COP LUG 10/BX 100/CS,899830
T&B 54113B 250MCM YEL 1H COP LUG 10/BX 100/CS,899830
FCI WH6-120-L 140W 1.04A 120V BA ELECTRONIC LINEAR FLUORESCENT 50/BX,898828
WIRE UF-12/3-CU-WG-250MSTR,899958
T&B 54112T 4/0AWG PUR 1H COP LUG 10/BX 100/CS,899830
CONDUIT 1IN INTERMEDIATE META 50/BNDL 1700/LFT   **YARD**,899877
T&B 54113T 250MCM YEL 1H COP LUG 10/BX 100/CS,899830
2-1/2 CW SEALTITE BLUE 50FT CTN MSTR,899752
IDEAL 85-037 F-CONN CRIMP PLG 10CRD 10/BX 10/CS,899838
FTG CNN-400 F1554 1-1/4 DC COND NIPPLE 25/BX 250/CS,899867
GE MVR150/U/MED MH LAMP 6/CASE   12598,898910
C-H 1MP2204RRL MTR PACK 200A NM3R,900020
FTG BX-50 FMBX50 3/8 1H BX STRAP 100/BX 1000/CS,899830
OZ-G LB75A 3/4 ALUM LB COND BODY CS/10,899873
NIC 17204 120V SOCKET STRING SOCKET STRING (AFL 108SS1) 200/BX,899928
"EPCO 40010 BLK 4FT 50AMP RANGE CRD AIW A5436004BL 3096 ~/BX, 12/CS",899752
FTG RWN-503 FRW-110 3/4X1/2 RED WASHER 100/BX 500/CS,899877
WIRE THHN-14-BLK-SOL-CU-500S,899956
CONDUIT 1-1/4IN INTERMEDIATE MET 1350/LFT   **YARD**,899877
FTG RWN-504 FRW-120 1X1/2 RED WASHER 50/BX 250/CS,899867
FTG RWN-505 FRW-121 1X3/4 RED WASHER 50/BX 250/CS,899867
APP CG-87100 1-IN ALUM ST CORD CONN CS/10,899873
FTG RWN-507 FRW-131 1-1/4X3/4 RED WASHER 50/BX 250/CS,899752
CABLE 12/4 MC ALL PURP AL 1 X 250'C,899951
FTG RWN-508 FRW-132 1-1/4X1 RED WASHER 50/BX 250/CS,899752
APP EYF-50 1/2 MALL COND SEAL CS/5,899873
FTG RWN-510 FRW-141 1-1/2X3/4 REDUCING WASHER 100/BX 1000/CS,899830
"UNIS HFLW025EG 1/4"" FLAT WASHER ELECTRO GALVANIZED FINISH",899859
FTG RWN-511 FRW-142 1-1/2X1 RED WASHER 100/BX 1000/CS,899816
FTG RWN-512 FRW-143 1-1/2X1-1/4 RED WASHER 100/BX 1000/CS,899816
GE FC16T9/CW 40W RS/PH FLUOR LAMP 12/CASE   33893 ***DISCONTINUED***,898899
NER RWN-513 FRW-150 2X1/2 RED WASHER CS/50,899752
WIRE THHN-4/0-GRY-19STR-CU-1000MSTR,899956
FTG RWN-515 FRW-152 2X1 RED WASHER 100/BX 1000/CS,899816
WIRE 4/0-2&2/0-1-AL-URD-SWEETBRIAR 1500MSTR,899752
FTG RWN-516 FRW-153 2X1-1/4 RED 100/BX 1000/CS,899816
FTG RWN-517 FRW-154 2X1-1/2 RED WASHER 100/BX 1000/CS,899816
NIC 17575 6IN ALBALITE SHR LENS TRIM ALBALITE (AFL 108VTPW) 12/BX,899752
CONDUIT 1-1/2IN INTERMEDIATE MET 1100/LFT   **YARD**,899877
GE MVR360/VBU/WM/XHO MH LAMP 6/CASE   40053 **DELISTED** ,898910
CUL ES1150 2IN ELEC SPLICE KIT 1/PK,899850
T&B 5334-TB 1-IN INS L/T FLEX CONN 10/BX 50/CS,899864
APP GK50-N 1/2 NEOPRENE GASKET CS/100,899873
FTG GBL-1000 FGB-590 4-IN INS GRD BUSHING 10/BX 50/CS,899864
WIRE 6-3-AL-URD-ERSKINE 1000MSTR,899945
CPP 5 COND CPLGS GALV 21125000,899877
"PHENOLIC NAMEPLATE ENGRAVED ""ALL STORE LIGHTS"" )BLUE W/ WHITE LETTERING AND ADHESIVE BACK)",899752
T&B 5344 1-IN 45D INS L/T FLEX CONN 5/BX 25/CS,899864
D-B IS-4R-CS 4' SOLID REFLECTOR ***PACKAGE INDIVIDUALLY***(4318220),898855
L-FSE LEBAAK UP TO 30A 600V FUS HLDR 10/BX,899807
FTG TH-1801 FTHR-50 1/2 2H STL COND STRAP 50/BX 500/CS,899877
FTG TH-1802 FTHR-75 3/4 2H STL COND STRAP 50/BX 500/CS,899877
FTG TH-1803 FTHR-100 1-IN 2H STL COND STRAP 50/BX 500/CS,899877
FTG TH-1804 FTHR-125 1-1/4 2H STL COND STRP 25/BX 250/CS,899867
FTG TH-1805 FTHR-150 1-1/2 2H STL COND STRP 25/BX 250/CS,899867
FTG TH-1806 FTHR-200 2-IN 2H STL COND STRAP 25/BX 250/CS,899867
WIRE THHN-2-ORG-19STR-CU-2500MSTR,899956
NER TH-1807 2-1/2 2H STL COND STRP CS/50,899873
NER TH-1808 3-IN 2H STL COND STRAP CS/25,899873
WIRE NM-B-6/2-CU-WG-250C,899958
NER TH-1810 4-IN 2H STL COND STRAP CS/20,899873
C-H DG222NGB 60A 240V 3SN SW NEMA1,899785
L-FSE FLSR006 600V RK5 TD FUSE 10/BX,899807
"BRDGPORT 91-DC2 1/2 90D FMC CONN SCREW IN CONNECTOR 25/BX, 250/CS",899867
CONDUIT 2IN INTERMEDIATE META 800/LFT   **YARD**,899877
T&B 54866BE 4/0AWG 2HOLE COP LUG 10/BX 100/CS,899830
OZ-G T-50 1/2 MALL T COND BODY CS/10,899873
FTG CNN-500 F1555 1-1/2 DC COND NIPPLE 25/BX 250/CS,899867
CPP 1 COND 90 ELBOW GAL 25/BX 22021000,899752
CPP 1 COND 90 ELBOW EMT 25/BX 22051000,899867
ALLIED 4300-NK 4G 3-IN-D SW BOX 18/BX,899755
SAT S6978 X18T5 18W 12V MINI LMP 1000/CS  06978,898885
HUBW HBL8300HI DPLX RCPT NEMA5-20R 10/BX,899978
WIRE UF-10/3-CU-WG-1000MSTR,899956
CPP 4 RUN THREAD TYPE C 3 FT 2/BX 26024000,898885
STL-CTY 72171-1 4-11/16 2-1/8D BOX -/BX 20/CS,899756
WIRE THHN-3/0-WHT-19STR-CU-2500MSTR,899956
OZ-G T-75 3/4 MALL T COND BODY CS/5,899873
CONDUIT 2-1/2IN INTERMEDIATE MET 370/LFT   **YARD**,899877
C-H BR215 2P-120/240V-15A CB,900017
EDW 340A-G5 24VAC VIBRATING BUZZER VIBRATING BUZZER 1/BX,899752
CPP 1 X 6 COND NIP GAL 25/BX 25021012,899752
C-H BR235 2P-120/240V-35A CB,900017
FTG JC-12-S FJC56 12GAUGE STL JACK CHAIN 100'/CS,899867
CONDUIT 3/8-EF-GRAY LIQ-TIT 1 X 100'C,899877
C-H BR240 2P-120/240V-40A CB 5/BOX,900017
"AIM 25-7430 ""BNC"" IN-LINE SPLICE",899816
PVC 3X3 BS VERT-LOK SPCR BS4545 29571 5335975 S288LLN 40/BX,899866
C-H BR245 2P-120/240V-45A CB,900017
C-H BR250 2P-120/240V-50A CB 5/BOX,900017
WIRE NM-B-6/3-CU-WG-250R,899958
LOL 6054NWH-CUL 1CKT STR TRACK 12NC: 912400465092,898859
